package_name,on_cran,install,github_username,description
colorspace,TRUE,TRUE,,Explicit control over the HCL color scheme
dplyr,TRUE,TRUE,,Data manipulation
ggplot2,TRUE,TRUE,,Graphing
knitr,TRUE,TRUE,,For reporting
lubridate,TRUE,TRUE,,Consistent/convenient function signatures for manipulating dates
rmarkdown,TRUE,TRUE,rstudio,"Needed for knitr and reports."
RODBC,TRUE,TRUE,,For connecting to ODBC databases
roxygen2,TRUE,TRUE,klutometis,Creates documentation Rd file from (well-formed) comments
testit,TRUE,TRUE,,has the useful `assert()` function
testthat,TRUE,TRUE,hadley,Heavier testing framework that's good for package development
